,review
0,"******Spoilers within******* What a dull, predictable, non-scary snore-fest. The movie had no character development: I felt no empathy towards any of the characters (except may be the small boy), and "
1,Worst.film.ever Nothing more needs to be said. Aaron Carter is utterly repellent and the rest of the cast should fire their agents immediately. It really is a terrible terrible movie from beginning to
2,"This movie doesn't even deserve a 1/10 This movie was a scam.<br /><br />I swear that at least 30 minutes of the film were DELIBERETLY copied from Carnosaur 1, 2, & 3.The whole movie ""Raptor"" was base"
3,"Dennis Hopper must've been really hungry to do this movie. Atrocious special effects, very poor writing, cheesy dialogue, stupid-looking killer bio-robots. Never mind the blatent disregard for science"
4,"J.J. Jameson (from Spiderman 2) Quote ... Crap, Crap, ...<br /><br />Mega-Crap It pretends to be an homage (un/intentional) to the Coen Brothers ... done poorly.<br /><br />There is no real mystery to"
5,"overrated, poorly written, badly acted. did the academy even watch this? i guess not. the political content guaranteed it an Oscar nomination -- indo -pak border -- a little boy , terrorism. anything "
6,MGM tried pairing up and coming young men with the Divine One to give them exposure and try them out as leading men. Gable and Garbo had chemistry in SUSAN LENOX but it was a lousy film. Here in INSPI
7,"Overall I'd call this a disappointing performance. It attempts the old ""Horror Anthology"" approach, but fails miserably. The acting was bad, and so were the stories. Any skin shown in the movie was ob"
8,"I just saw this movie last night at a midnight sneak preview screening (I work for an independent theatre chain in Colorado - it's one of the perks)...I'm sorry, but this is one of THE WORST movies I'"
9,OK enough already. this is a terrible piece of television. the camera work is appalling (do i have to remind you of the crunchy gravel so loud you can hardly hear the actors speak) lady bertram has th
10,There really is only one reason to watch this barely adequate and utterly predictable movie about an uptight chef Kate Armstrong (Catherine Zeta Jones) whose life changes when she inherits her orphane
11,"Without a doubt, the WORST movie I have ever seen in my life. There was nothing entertaining about this film. I know it was supposed to be a comedy, but it actually made me cry at the thought of losin"
12,"That was a waste of 9 dollars. the movie was terrible. all the ""scary"" parts were pointless and sadly repetitive. Seemingly all of the tense parts could be completely predicted, and did not seem to ho"
13,"This movie is bad. Really bad. So bad it made me want to shoot myself in the forehead. I hated this movie. First off, the plot went absolutely nowhere and anything shocking about this movie was seen i"
14,"This is the worst film I have ever seen, bar none. From the flimsy-looking, poorly lit sets, to the laughable acting, to the infantile plot and shoddy, drawn-out action sequences, this film is so bad,"
15,"I have never seen the original 1930s version of the film, but this remake is one of the worst I have seen from a major production studio in years. Seeing actors such as Meg Ryan and Annette Bening, on"
16,"I simply cannot understand how any Who fan, or just plain anyone could find this awful, lazy, poorly written abomination even remotely funny. It is so embarrassingly below par that it qualifies as a g"
17,"This movie is one of the worse examples of hype. People who read IMDb comments might be tempted to view this total waste of time, as I was, by false tag-lines like "" A throwback to 80's horror"" and wh"
18,Poor Jane Austen. This dog of a production does NOT do her wonderful tongue in cheek novel any justice. Starting at the top ... poorly adapted. The screenwriter deserves extra low marks for trying to 
19,"This movie is awful. It creates characters not in the book, and some of them are ethnic or racial stereotypes. Including an obnoxious little Jewish boy and a politically correct little black girl. Not"
