,review
0,"Here's a horror version of PRISCILLA: QUEEN OF THE DESERT (they wish!) starring Melinda/Mindy (RETURN OF THE LIVING DEAD 3) Clarke as Candy, a desert dweller who pulls off a bank heist with boyfriend Johnny (Jason Durr). He ends up in a South-of-the-border prison run by the sadistic Chief Screw (an overacting Robert Englund in a toupee). She and her beloved pet poodles end up in hiding at a gas station convent until they're transformed by a newly fallen meteor. The dogs turn into obnoxious drag queen ""bitches"" and Candy develops a VERY long, talking, killing forked tongue she can't control. Thugs looking for the stolen loot and other assorted numbskulls add extra complications.<br /><br />First off, Clarke is fantastic and makes what there is to make of this movie. You watch her and see someone very funny during the slapstick scenes, very convincing during the horror scenes and VERY sexy in various wigs and disguises, including an eye-popping, skin tight latex bodysuit...and wonder how"
1,"A year after losing gorgeous Jane Parker (Maureen O'Sullivan) to love rival Tarzan, hunter Harry Holt (Neil Hamilton) returns to the jungle to have another bash at winning the brunette babe's heart. Mixing business with pleasure, he also plans to grab himself some ivory from the elephant graveyard that lies beyond the Mutia escarpment, Tarzan's stomping ground.<br /><br />Accompanied by his slimy, womanising pal Martin Arlington and a group of expendable bearers, Harry finally arrives at his destination (having narrowly avoided death at the hands of savage natives and rock-hurling apes) only to find that Jane is still infatuated with her musclebound yodeller, and worse still, that Tarzan is refusing to let the hunters take any ivory from the graveyard.<br /><br />Nasty Arlington decides to resolve matters by ambushing and shooting the ape-man and then telling Jane and Holt that Tarzan was attacked and eaten by a crocodile. Of course, Tarzan isn't deadonly wounded; after being nursed b"
2,"I thought the racism and prejudice against Carl Brashear was grossly overdramatized for Hollywood effect. I do not believe the U. S. Navy was ever that overtly racist. I cannot imagine a full Captain, the Commanding Officer, ever telling his Chief to intentionally flunk anyone. Certainly not at the risk of his life. And there has never been a Chief Petty Officer as unabashedly prejudice against everybody but WASPs as DeNiro's character. No Chief as slovenly and drunken as he was played would have ever risen to Master Chief in the first place. Cuba Gooding saved an otherwise badly done movie."
3,"The costumes and make-up were grand, there were some exceptionally funny lines, and the role was made for Jim Carrey. Carrey did as good a job as could be done given the rather disappointing script writing. Sure this was mostly a movie for kids, but if you are going to spend this much money making a movie you really ought to at least give the story enough body to go beyond that of Dr Seuss. I expected more from Ron Howard. It's worth a see, but it lacks the necessary qualities to become a major classic, by any measure."
4,"Tales from the Crypt: And All Through the House starts on Christmas Eve as Elizabeth (Mary Ellen Trainor) kills her husband Joseph (Marshall Bell), she drags his body outside ready to throw it down a well but while doing so misses an important news bulletin on the radio that says a homicidal maniac (Larry Drake) dressed as Santa Clause has escaped from a local mental asylum & has already killed several women with Elizabeth next on his list but she has other ideas & tries to turn the seemingly dangerous situation to her advantage...<br /><br />This Tales from the Crypt story was episode 2 from season 1, directed by the one of the show's regular executive producers Robert Zemeckis And All Through the House is a decent enough watch. The script by Fred Dekker was actually based on a story appearing in the comic 'The Vault of Horror' & was originally adapted to film as one episode from the Britsih horror anthology film Tales from the Crypt (1972) which starred Joan Collins as the murderous "
5,"What an insult to the SA film industry! I have seen better SA films. The comments I read about Hijack Stories,by saying it is worthy of a ten out of ten is quite scary. A movie's rating should not depend on.., ""OH, A MOVIE FROM A DEVELOPING COUNTRY. LETS BOOST THEIR INDUSTRY BY SAYING NICE THINGS ABOUT THEIR WORK, EVEN THOUGH IT IS BAD."" We have the expertise to make good movies. Don't judge the film industry on what people say how great they think Hijack Stories is. We can tell great stories such as Cry the beloved Country and Shaka Zulu. Cry the beloved Country I'll give 9 out of 10. Great directing by Darryl, great acting by two great elderly actors, irrespective from where they are. Hijack Stories.., I'll give 1 out of 10. It could only be people involved in the project who would give it high scores. I would've done the same if it was my movie."
6,"This was a great movie but it had the worst ending I think I have ever seen!!! The actors were great and displayed wonderful talent. The entire story was twisted and unexpecting, which, is what made it entertaining. As good as the movie was, the entire film is judged by the ending, which was terrible! Maybe a sequel could eliminate this bad ending."
7,"LL Cool J performed much better in this movie that I expected! He did a fabulous job acting as a ""renegade"" cop within a ""renegade"" department. From the very beginning, he does a great job of building viewer empathy for his character and the predicament he's in. He acts as a sort of ""gentle giant"" -- a person whose rough exterior can scare anybody, yet whose heart is clearly in the right place from the very start -- and he does an amazing job. He was quite clearly the best character in the movie.<br /><br />This was certainly a performance that will not win Morgan Freeman any awards. After starring in powerhouse films like the Shawshank Redemption this film was certainly a step down. His role in Edison simply did not allow him to show his true talents as an actor -- and in terms of the conglomeration of characters placed him sadly on a back burner. There are so many ways his character (Moses Ashford) could have taken a more pivotal role. That he didn't was disappointing and a true let-"
8,"I appreciated the photography, the textures, the colours and often, unlike one comment, the lighting. What was lacking for me was a coherent storyline.I found it often disjointed, badly edited and at times difficult to follow. My version was 110 minutes, IMDb shows one at 125m. Possibly the cuts and subtitles didn't help. I applaud any films that escape from the Hollywood mould but this left me disappointed. Miss Gillain was luminous and the performances were all fine, I just wanted a little more dialogue. If anyone would like to see another film that has some affinity with this one, try 'Hideous Kinky'with Kate Winslet."
9,"Ascension is actually a step up in terms of what the original movie was in story and in special effects. Jason Scott Lee Is good as a vampire hunter looking for the count himself (if you remember him, he was from the movie Dragon, The Bruce Lee Story.') Jason London is funny as Luke, the kid who helps the woman he loves from a far steal Dracula's body from the slab. Diane Neal Is good as the woman who steals Dracula's body in order to finds a cure for her dying boyfriend, And Stephen Billington is great as Dracula himself. Giving a better performance than Gerard Butler did the count in the original film. Roy Scheider rounds out the rest of the cast in this movie, and he does a decent job as the mentor of Jason Scott Lee's character. This is the second sequel in the trilogy, and they are off to a good start. It's up in the air whether the last film will close the series out on a good note."
10,"As with all environmentally aware films from the 1970s SOYLENT GREEN has a rather cheesy view of what ecological meltdown is . Overpopulation means there`s too many people to feed ? I was under the impression that famines were caused by either war or failed economic policies . Stalin`s policy in the Soviet Union in the 1930s left millions dead because of famine and to this day the greatest man made tragedy was Mao`s rural policy in China which led over 30 million starvation deaths in the 1950s . And let`s not forget the great famines in the horn of Africa in the 1980s and 90s which were to do with conflicts not overpopulation . You might like to also consider that two of the most heavily populated areas on Earth , Hong Kong and Macau , have never suffered a famine in modern times . Likewise the expansion of shanty towns around cities as seen here isn`t strictly down to overpopulation - it`s down to economic factors where people flock to cities to find better paid work than in the count"
11,"I think it's a great movie!! It's fun, maybe a little unrealistic, but fun and dramatic!! I would like to see it again, if they were showing it in TV!! Just 1 question: Are we still talking about the same movie???"
12,"This is one of the oddest films of the Zatôichi series due to its very unusual pacing and the role that Ichi plays in the film. Interestingly enough, this was the first Zatôichi film made by Shintaro Katsu's new production company. Now, instead of just playing the blind swordsman, Katsu is in charge of making the films. This could easily explain why this film seems so different in style to the previous 15 films. As far as Ichi's role, the film is very different because he isn't in the film as much as usual. He's also easy to fool and actually, for a while, does a lot to harm people instead of helping! <br /><br />""Zatôichi Rôyaburi"" begins with Ichi talking with an old lady who tries to take advantage of his blindness. Oddly, in this scene, Ichi says that he's been blind since a toddler, though in an earlier film he says his blindness set in when he was 8. This is a minor mistake, and only a crazed fan like myself would have noticed.<br /><br />This film takes place over a period of at"
13,"1st watched 4/29/2007 - 4 out of 10(Dir-Mick Garris): Campy vampire-like Stephen King movie has so many strange and goofy elements that you start laughing over the extreme weirdness about 3/4 the way into the movie and you wonder if this movie might have a cult following for King fans. It's the story of a mother and son who are sleepwalkers(a shape-shifting feline-like, flesh eating, life needing, near extinct breed of humanoid) who move from town to town searching for virgins to feed on to keep themselves alive. They come across as pretty normal upper-class folk except they are secret lovers and cats hang around the outside of their home, day and night. Cats are deadly to them, so they set traps in their yard to try and keep the population down. We get to see them break a couple of their necks when they attack(which is also a first in my movie-going experience) --- hopefully no real cats were harmed in the making of the film. The boy is after a sweet girl that he has a crush on until "
14,"Just a regular Jason lee movie, There were some parts of the movie that were funny. The undertone of the move is to live life on the edge I guess. These are the types of movies that I think 14 year old girls watch at slumber parties. It was an all right movie. It is kind of one of those movies you have on in the back ground and look up every now and then to when something catches attention. I think That Julia stiles and Selma Blair are a good combination and would like to see them in a movie with a good story and plot. Its just kind of a boy meets girl movie. This is that perfect movie they would show on comedy Central. I am glad that I didn't see this movie in the theater, I would have been angry. But I guess that's why I didn't see it in the theater."
15,"I never seem to write a review on IMDb unless I am extremely surprised at how good, or how bad, a movie is. This film falls into the first category. Every year, I try to see all the nominees for Best Foreign Film at the Oscars, even those that I know I won't like. ""As It Is In Heaven"" seems to fit the bill. The plot sounds sugary and sentimental and slow....For my tastes, which run more towards original, dark and/or daring foreign cinema (Michael Haneke, Francois Ozon, A lot of modern Japanese/Korean cinema) ""As It Is In Heaven"" does not sound particularly interesting....It didn't get released in the USA, so I sat down to watch a VCD I found in Singapore, preparing to ""cross it off the list"". After a dull beginning, ""As It Is In Heaven"" becomes that rare film where you really become inspired by what is happening on screen. Weak points: The characters in the film are pure ""stock"" characters- the Wounded Dreamer, the Town Bully, the Battered Wife, the Loose Woman Yearning for Love, the R"
16,"The story goes something like this: A small-town girl, Katie (Jessica Simpson), decides to visit her boyfriend in the big city. When she arrives she discovers he isn't quite as faithful as he should be. Katie then ends up venturing into the adventure that is New York. Filling in as bike messenger comedic and charming mishaps ensues. She falls into a hole in the ground and thus meets charismatic good-guy Ben (Luke Wilson). It's not love at first sight, at least for her, but destiny and Ben, won't give up quite that easy. Being ""just"" a small-town girl AND blonde a couple of evil executives at a building firm decides she's the perfect scapegoat for their cunning plan. Misunderstandings with hilarious and sad consequences follow. However, this is one blonde who won't take it lying down!<br /><br />People being judgmental of this film will soon enough be proved wrong. The jokes are confident and fitting, and the story well developed. The relationship between Katie and Ben feels so natural "
17,"This movie is not as good as all the movies of Christ I've ever seen. And I'm quite amazed that in this story Pilate wants to finish Jesus, when the Scriptures (as well the other movies) state differently. It lacks also a very important issue: The Resurrection.. None of the other movies skip this very important part: the faith of all of us Christians lies in this very event. As Paul says in one of his letters ""If Christ did not rise from the dead, our faith is vain"". A very impressive scene for me in this movie was seeing on the streets the remains of the palms that were used when Jesus entered Jerusalem. <br /><br />Finally, and in opposition to my Jewish co-commentator, Jesus WAS NOT a myth. And as a matter of fact, he was also a JEW. There are plenty of documents (relgious and secular) that prove the existence of this extraordinary man(or should I said, God become a man) that indeed changed mankind. I strongly advise him(given he is a historian) to read about Flavius Josephus, the m"
18,Charles Bronson stars as Lt Crowe a police detective who declares war on a pimp named Duke (Juan Fernandez) who kidnaps the daughter of a Japanese businessman who is the man who sexually harassed Crowe's daughter (Amy Hathaway) in this sleazy yet stylishly helmed revenge thriller. Kinjite may not be for everyone with it's somewhat disturbing plot threads but it is well made and indeed entertaining.
19,"The Wayward Cloud is a frustrating film to watch. Infuriatingly enigmatic, it treats each shot like a work of art. You get the impression that the composition of each shot has been designed and prepared with a degree of exquisite care that borders on obsession; Expressing how far cinema has progressed since the very first films were cranked out in the nineteenth century and mimicking their construction, the camera here hardly ever moves  apart from during the camp and colourful musical numbers. Ambient noise is kept to a minimum and barely a word is spoken. This curious but effective device forces the audience to focus their attention on visual stimuli alone so that, even as the story progresses at a snail-like pace we feel ourselves becoming immersed. Unfortunately, for me at least, this immersion begins to unravel somewhere around the hour mark. I began to feel as if the film was challenging me to keep watching while becoming more difficult as the minutes dragged so that the mere ac"
20,"ANDY HARDY MEETS DEBUTANTE (1940) is the ninth (9th) film of the series and it shows the direction it was inevitably headed into. Characters ANDY HARDY (Mickey Rooney) and JUDGE HARDY (Lewis Stone) were going to be front and center. The rest of the cast was going too just punch the clock and collect their checks. The series would rise to the occasion again and have its moments but a fatal decline had set in.<br /><br />Lewis Stone throughout the series would continue too portray the character of JUDGE HARDY in a sympathetic manner. The rest of the cast would be professional even though given less and less to do. Mickey Rooney on the other hand would continue his character as if there was no learning curve. ANDYs' reaction to any situation was in a naive and unbelievable way. Even after he returned as a veteran of World War II service in LOVE LAUGHS AT ANDY HARDY (1946) his reaction to any 'teapot tempest' was the same, juvenile.<br /><br />In this film it is clearly illustrated. ANDY g"
21,"I have read modesty Blaise for several years now, collecting numbers of the strip. After the fiasco movie made many years ago based on the first book ""Modesty Blaise"" I was surprised the result got this good.<br /><br />What I got was a movie not based on action or violence. The director had focused on history and psychology. How was Modesty created based on the own tale and what parts in her life was affected by her non-childhood. I think this thougths will give a greater understanding to the next (I hope) film. I simply loved the movies old-fashioned style.<br /><br />However everything wasn't that good, the gambling wasn't that good. almost boring and unreal. The acting could have been improved too. I'm not thinking the bad guy in this movie felt real, the only reason he was there was so Modesty could have someone to tell her story for. Also they could have expanded the movie, showing more about when she builds up ""The network"" but I'll guess thats for the next movie.<br /><br />And"
22,"I used to always love the bill because of its great script and characters, but lately i feel as though it has turned into an emotional type of soap. If you look at promotional pictures/posters of the bill now you will see either two of the officers hugging/kissing or something to do with friendships whereas promotional pictures of the bill a long time ago would have shown something to do with crime. This proves that it has changed a lot from being an absolutely amazing Police drama to an average type of television soap. When i watch it i feel like I'm watching a police version of Coronation Street or something similar. I have to say i still like the bill as I'm interested in Police work and that type of thing but i really miss the greatness that The Bill used to have. I want to rate it as 2 out of ten because you have to admit it has been totally ruined by the people who took the bill over.<br /><br />As for the script and characters they have both gone downhill, most of the great char"
23,"TO all of yall who think 1.This was a boring telecast 2.Halle berry and denzel Washington did not deserve their Oscars<br /><br />SHUT THE F**k UP!! This was one of the best Academy awards show because 1.It was a moment in history to have a black yes ""Black actress"" win an academy award for Best actress so many of our black sisters have been ignored by the academy for many years.To be honest I had stop watching the academy awards because of a lack of diversity in either the winners or nominees.To me it was nothing but a bunch of white people patting each other in the back.the academy had many chances to vote black actresses that were brilliant in movies eg Alfre Woodard,Whoopi Goldberg,Diana Ross,Mary jean Babtise, but it did not 2.Halle berry deserved that Oscar no competition the academy was under pressure to vote for her so long have deserving actresses been ignored by the academy the majority of which is comprised of white voters yeah yeah Nicole kidman sang very prettily in muling"
24,"It's interesting how the train of research can flow. I started out looking at an article about Cristo's ""The Gates"" in Central Park. The article stated that the Maysles had been Cristo's filmographers for years. Hmmm... Then I got to looking at their body of work. I believe one of them has passed on but the other is still filming Cristo and Jean Claude in their stages of creation. Grey Gardens sounded very interesting. Video Station, in Boulder CO, is the place to look for the obscure or offbeat and of course they had it in stock. DVD and VHS. Edith and Edie are women living in the past, and oh what a glorious past it was. Edith had been well off, born a Bouvier, married well, had several wonderful relationships and became a singer when she was in her forties. Her daughter Edie had been a débutante, a fashion model and had many beaus. She never married and at some point in her thirties had come home to recuperate. She seems to have a nervous disorder of some kind. Worrying too much abo"
25,"I was never a big fan of horror movies. They usually try cheap tricks to scare their audiences like loud noises and creepy children. They usually lack originality and contain overacting galore. The only horror movie i like was Stir of Echoes with Kevin Bacon. It was well-acted, and had a great story. But it has been joined and maybe even surpassed by Stanley Kubrick's The Shining, quite possibly the scariest movie ever.<br /><br />The movie follows a writer (Jack Nicholson) and his family who agree to watch over a hotel while it is closed for the winter. There were rumors of the place being haunted and the last resident went crazy and murdered his family. But Jack is convinced it will be OK and he can use the quiet to overcome his writer's block. After months of solitude and silence however, Jack becomes a grumpy and later violent. Is it cabin fever or is there something in the hotel that is driving him mad?<br /><br />One of the creepiest parts about the movie is the feeling of isolat"
26,"This is a bit of a puzzle for a lot of the artsy Lynch crowd. They tend to try to write this off as some kind of meaningless, crude, side project of Lynch's. Like this is Lynch passing gas between his real pieces of film art. Well it may be a fart, but its one of those intriguing farts that you catch of a whiff of and are embarrassed to admit you enjoy.<br /><br />Dumbland distilled down beyond this is art. What can you do with aspects of modern life but laugh at it. If you took it seriously you would go nuts. You hook into it, smell it, taste it, feel its agonies, its unreasoning stupidities, and then express it in any medium you choose. Thats called art, and art isn't dumb. But it is Dumbland."
27,"Life in some future fascist or near fascist state which severely restricts personal freedoms is a recurrent theme both in modern literature and for film makers. Such works post us warnings about undesirable trends in our society to watch out for; but to be effective they must also be entertaining. Unfortunately most of the books are probably more effective in posting the warnings than in entertaining us enough to become really widely read; whilst with the films the problem is usually the other way round. The first such work to become really widely known was probably George Orwell's ""1984"" (first published in 1948), and this is still readily available both in the form of a book and as a film.<br /><br />Watch or read it: and then, when you are feeling a little depressed by man's inhumanity to man, reach for Cinderella 2000. This is a feather light low budget film comedy based on the same theme which provides effortless but unrewarding viewing; and as with 1984 the calendar has now passe"
28,"Page 3 is one of those films Madhur Bhandarkar makes to expose societal filth. The film is compelling, but, like most of Bhandarkar's films, it is one-sided and overly pessimistic. This film is all about tabloid journalism, gossip, celebrities. The film exposes the lives of socialites, whose lifestyle is disastrously boastful, peculiar and repulsive. They party, they care for nothing but fame, they plan parties at funerals, they are craving for more money and a higher reputation, they will do anything to get due exposure in the media, to get their names boldly printed on the daily newspaper's social column known as ""Page 3"" with huge photographs which will be the center of people's discussions. They are attention seeking, salacious and hypocrite. The film industry is shown as sleazy, with casting couch being a common phenomenon among filmmakers. That's where our lovely heroine, a young social column reporter Madhvi Sharma, is thrown. All these people from Mumbai's elite depend on her a"
