,review
0,"This article is a piece of dogshit written by pigfuckers

There's no reason for"
1,"Grandma Terri should burn alive and be shot! 

Get shot asshole G-m"
2,"Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks"
3,"the people of the Philippines are unbelievably stupid, this is a shit hole."
4,"Fuck you 2.0 

You are an idiot and an admin abuser.
I will"
5,I fuck niggas! I fuck niggas! I fuck niggas! I fuck
6,"""

 CAMRAON YOU FAGGOT< WE WILL HUNT """"YOU DOWN 
"
7,"But what do I know, I'm a complete fucking moron who has nothing better to do than"
8,"No shit I live in Bardstown, KY. Is that supposed to fucking scare me? That you"
9,"gay ==

He sucks dick
 John Cline is gay 

He sucks dick
"
10,"Hey you bitch 

When you deleted my page, I cried. You made an 18 year"
11,"You stupid nigger 

You stupid nigger You stupid nigger You stupid nigger You"
12,"FUCK YOU!!!! stupid IGNORANT!!!!! 

HIM
is a Love Metal band"
13,you all think you are fucking experts because you control the information on wikiplagirism. you
14,HAHAHA FUCK YOU FUCK YOU FUCK YOU WIKIPEDIA I WILL NEVAR STOP I
15,You are a stink ass Bitch you motherfucking dick sucking bitch go to fucking hell you dog
16,"Hey dick 
You don't know what is copyright so shutup and get out of here,"
17,don't fucking care if Jewbo wales personally bans me... He's dead meat...
18,"""

 FUCKER 

why don't you get a real job instead of just looking for"
19,"Suck my greasy dick, I will start creating thousands of pages using different names and you can"
20,"Eddits 

Who the fuck are you to be reversing my eddits and such"
21,"Hello 

I make the internet suck Ok bitch face and you are going to die oneday"
22,"""
Idiots!

You fascists are such idiots, I don't know whether to laugh"
23,Vandals of the worthless Fuckipedia UNITE. FUCK THE SLIME ADMINS. FUCK THEM
24,"Ah fuck it. I see now. looked back in Striver's records, he's a fucking"
25,"Yeah I believe it, how many times have I heard that gay shit before? Get the fuck off"
26,sarah palin is an ass kissing mother fucking loser with a melon in her hair. she
27,why did you get this IP address banned from editing wikipedia you douchen faggot go fuck
28,"Why do you love cock? 

Stop taking down my vandalism you fucking nigger loving f"
29,"Hey Jeremy! 

FUCK YOU!!! AND FUCK YOU ALAN! Good to know you"
30,"No, you cannot get my account banned you ignorant moron. Shut the fuck up. Go play"
31,"Dude... At the end you fucked my article Sector 06 Rourkela 

Dude"
32,i hope you die you fucking pedophile. i gave your details to some friends in the middle east
33,"fuck you jzg 

i will have you removed as editor you stupid moron"
34,What are you retarded? I already am blocked. What a fucking moron.
35,Dont delete talk page entries fucking asshole. You dont have to make yourself obvious as a crimin
36,"SHUT THE FUCK UP!
SHUT THE FUCK UP!
SHUT THE FUCK UP!"
37,"Gay BITCH

Thanks for deleting the important talk page of club penguin BITCH! Rot"
38,"BONGWARRIOR IS A GIGANTIC ASSHOLE.  

I"
39,"I am glad you have you were a fucking rubbish editor, with your racist crazy talk."
40,You are homosexual. You fuck people through the ass. You hire prostitutes. Your mom's a hook
41,"Sorry, really mean it now 

Go fuck yourself FAGGOT. I didn't"
42,"i dont lambs12 

wikipedia sucks ass pussy in the dick i dont give a pussy"
43,"ur a coomie 

y do u block people u coomie and u suck"
44,"Hi, I always lick Wasted Time R's ass because I'm a bitch slapped pussy wimp"
45,"ElinorD, KP Botany and TeaDrinker are fucken piece of shits."
46,"J DELANOY IS A MOTHERFUCKER 

YOU SURE GOT A LOT"
47,now that you let screwattack how about you fucking pedant wikipedia assholes let the nerd have
48,"""

 hello Dick Head 

you are my new friend for life.  — Preced"
49,"LOL-fagstar 

Are you and Queeftet still buttfucking"
