,score,review
1102,-7.1726555824279785,"20

retards u fuckin paki fuckersItalic textfukin taliban"
1784,-7.14305305480957,"I DONT CARE WHAT THE FUCK U DO!! 

FUCK you u Racist ass"
1323,-7.106776714324951,Jetstreamer: you can go and fuck yourself you stupid sick bastard homo!
136,-7.105470180511475,"""

fuck u communist bastards!!!! if u lik the sunflkower on this page"
1669,-7.077865123748779,"FUCK YOU, YOU GAY ASS LIBERAL!!!
hey asshole why dont you get your face"
1507,-7.069737434387207,"man, fuck you! you know me, you anti-semitic fucktard!!!!!!!"
1028,-7.06488561630249,"Phelps 
Phelps is a fucking bitch ass cock sucking homophobic victim of rape old man and"
1698,-7.057811260223389,"Joseph
Judas Priest

motherfucker

shit
shit ass
shitass
"
613,-7.054913520812988,FUCK YOU!!!!!!!!!!!! YOU FUCKING NIGGER BAG OF SHIT I HOPE YOU
852,-7.051266193389893,Fuck off Mexican bastard! I will work endelessly to have your Wikipedia account banned indefinitely- you
742,-7.05070161819458,"fuck you.

your fuckin stupid and i'm black and fuck you
fuck uou
"
1572,-7.039429664611816,"Back to the kitchen for you! 

Suck my d***, leftist feminazi cunt"
1365,-7.035277366638184,"you people are cunts, bombing every ones mail box, fucking bastards"
1019,-7.033695220947266,Rklaton is faggot and loves to suck cock and get his ass fucked by 30 guys
837,-7.029700756072998,"Hey, CambridgeBayWeather, quit being suck a fucking homo and get a fucking life instead of"
856,-7.008293628692627,"==U R GAY== 

FUCKFUCKFUCKFUCKFUCKF"
1252,-7.006354808807373,"Block me, go right the fuck ahead.  Fucking fascist cunt.  All of you are"
544,-7.002959728240967,"ur a faggot, fuck off and get a real job and stop fucking with my posts
"
1523,-6.998424530029297,Fuck all of you. We need a fucking lynch mob and get all of you fucking admins driven
85,-6.980326175689697,"Hey sexist bitch, shut the fuck up

How dare you support calling women bitchy and mood"
1051,-6.963490009307861,"Trollop 

Go and fuck the same cross you fucked up faggot!!!!"
2139,-6.9574666023254395,STAY THE FUCK OFF MY PAGE YOU HOMOSEXUAL.  I WILL REMOVE
1859,-6.955236911773682,your a dumb fuck peasant clueless asshole - get a life - I live off the internet not in it
410,-6.953822135925293,"GO FUCK YOURSELF 

FASCIST. Leave your racism out of the Jonathon"
1171,-6.952893257141113,"fuckoff 

fuckoff i don't want self promoting faggots shitting up wik"
